Lon,Lat,"Depth(km)","Vp(km/s)"
-108.0000,34.5000,0,3.499 
-107.7822,34.5000,0,3.493 
-107.5644,34.5000,0,3.488 
-107.3467,34.5000,0,3.483 
-107.1289,34.5000,0,3.478 
-106.9111,34.5000,0,3.475 
-106.6933,34.5000,0,3.478 
-106.4755,34.5000,0,3.482 
-106.2578,34.5000,0,3.487 
-106.0400,34.5000,0,3.491 
-105.8222,34.5000,0,3.497 
-105.6044,34.5000,0,3.497 
-105.3866,34.5000,0,3.496 
-105.1688,34.5000,0,3.496 
-104.9511,34.5000,0,3.496 
-104.7333,34.5000,0,3.493 
-104.5155,34.5000,0,3.493 
-104.2977,34.5000,0,3.494 
-104.0799,34.5000,0,3.495 
-103.8622,34.5000,0,3.495 
-103.6444,34.5000,0,3.497 
-103.4266,34.5000,0,3.499 
-103.2088,34.5000,0,3.500 
-102.9910,34.5000,0,3.502 
-102.7733,34.5000,0,3.504 
-102.5555,34.5000,0,3.503 
-102.3377,34.5000,0,3.503 
-102.1199,34.5000,0,3.501 
-101.9021,34.5000,0,3.500 
-101.6843,34.5000,0,3.500 
-101.4666,34.5000,0,3.500 
-101.2488,34.5000,0,3.500 
-101.0310,34.5000,0,3.499 
-100.8132,34.5000,0,3.499 
-100.5954,34.5000,0,3.498 
-100.3777,34.5000,0,3.497 
-100.1599,34.5000,0,3.497 
-99.9421,34.5000,0,3.497 
-99.7243,34.5000,0,3.498 
-99.5065,34.5000,0,3.499 
-99.2888,34.5000,0,3.500 
-108.0000,34.3201,0,3.498 
-107.7822,34.3201,0,3.490 
-107.5644,34.3201,0,3.482 
-107.3467,34.3201,0,3.475 
-107.1289,34.3201,0,3.467 
-106.9111,34.3201,0,3.461 
-106.6933,34.3201,0,3.466 
-106.4755,34.3201,0,3.473 
-106.2578,34.3201,0,3.479 
-106.0400,34.3201,0,3.486 
-105.8222,34.3201,0,3.495 
-105.6044,34.3201,0,3.496 
-105.3866,34.3201,0,3.495 
-105.1688,34.3201,0,3.494 
-104.9511,34.3201,0,3.493 
-104.7333,34.3201,0,3.489 
-104.5155,34.3201,0,3.489 
-104.2977,34.3201,0,3.490 
-104.0799,34.3201,0,3.491 
-103.8622,34.3201,0,3.491 
-103.6444,34.3201,0,3.495 
-103.4266,34.3201,0,3.497 
-103.2088,34.3201,0,3.500 
-102.9910,34.3201,0,3.503 
-102.7733,34.3201,0,3.505 
-102.5555,34.3201,0,3.505 
-102.3377,34.3201,0,3.503 
-102.1199,34.3201,0,3.501 
-101.9021,34.3201,0,3.498 
-101.6843,34.3201,0,3.496 
-101.4666,34.3201,0,3.496 
-101.2488,34.3201,0,3.495 
-101.0310,34.3201,0,3.493 
-100.8132,34.3201,0,3.493 
-100.5954,34.3201,0,3.493 
-100.3777,34.3201,0,3.493 
-100.1599,34.3201,0,3.494 
-99.9421,34.3201,0,3.496 
-99.7243,34.3201,0,3.497 
-99.5065,34.3201,0,3.498 
-99.2888,34.3201,0,3.499 
-108.0000,34.1403,0,3.494 
-107.7822,34.1403,0,3.482 
-107.5644,34.1403,0,3.471 
-107.3467,34.1403,0,3.462 
-107.1289,34.1403,0,3.452 
-106.9111,34.1403,0,3.445 
-106.6933,34.1403,0,3.452 
-106.4755,34.1403,0,3.461 
-106.2578,34.1403,0,3.469 
-106.0400,34.1403,0,3.477 
-105.8222,34.1403,0,3.491 
-105.6044,34.1403,0,3.494 
-105.3866,34.1403,0,3.492 
-105.1688,34.1403,0,3.491 
-104.9511,34.1403,0,3.490 
-104.7333,34.1403,0,3.484 
-104.5155,34.1403,0,3.483 
-104.2977,34.1403,0,3.485 
-104.0799,34.1403,0,3.487 
-103.8622,34.1403,0,3.488 
-103.6444,34.1403,0,3.493 
-103.4266,34.1403,0,3.497 
-103.2088,34.1403,0,3.503 
-102.9910,34.1403,0,3.506 
-102.7733,34.1403,0,3.509 
-102.5555,34.1403,0,3.508 
-102.3377,34.1403,0,3.505 
-102.1199,34.1403,0,3.502 
-101.9021,34.1403,0,3.498 
-101.6843,34.1403,0,3.494 
-101.4666,34.1403,0,3.493 
-101.2488,34.1403,0,3.492 
-101.0310,34.1403,0,3.490 
-100.8132,34.1403,0,3.490 
-100.5954,34.1403,0,3.491 
-100.3777,34.1403,0,3.491 
-100.1599,34.1403,0,3.492 
-99.9421,34.1403,0,3.495 
-99.7243,34.1403,0,3.497 
-99.5065,34.1403,0,3.498 
-99.2888,34.1403,0,3.499 
-108.0000,33.9604,0,3.484 
-107.7822,33.9604,0,3.466 
-107.5644,33.9604,0,3.450 
-107.3467,33.9604,0,3.441 
-107.1289,33.9604,0,3.428 
-106.9111,33.9604,0,3.418 
-106.6933,33.9604,0,3.427 
-106.4755,33.9604,0,3.436 
-106.2578,33.9604,0,3.443 
-106.0400,33.9604,0,3.456 
-105.8222,33.9604,0,3.475 
-105.6044,33.9604,0,3.482 
-105.3866,33.9604,0,3.482 
-105.1688,33.9604,0,3.483 
-104.9511,33.9604,0,3.482 
-104.7333,33.9604,0,3.474 
-104.5155,33.9604,0,3.474 
-104.2977,33.9604,0,3.476 
-104.0799,33.9604,0,3.480 
-103.8622,33.9604,0,3.484 
-103.6444,33.9604,0,3.494 
-103.4266,33.9604,0,3.501 
-103.2088,33.9604,0,3.510 
-102.9910,33.9604,0,3.515 
-102.7733,33.9604,0,3.518 
-102.5555,33.9604,0,3.516 
-102.3377,33.9604,0,3.512 
-102.1199,33.9604,0,3.507 
-101.9021,33.9604,0,3.504 
-101.6843,33.9604,0,3.502 
-101.4666,33.9604,0,3.503 
-101.2488,33.9604,0,3.502 
-101.0310,33.9604,0,3.500 
-100.8132,33.9604,0,3.497 
-100.5954,33.9604,0,3.496 
-100.3777,33.9604,0,3.494 
-100.1599,33.9604,0,3.494 
-99.9421,33.9604,0,3.496 
-99.7243,33.9604,0,3.498 
-99.5065,33.9604,0,3.499 
-99.2888,33.9604,0,3.500 
-108.0000,33.7805,0,3.475 
-107.7822,33.7805,0,3.456 
-107.5644,33.7805,0,3.440 
-107.3467,33.7805,0,3.435 
-107.1289,33.7805,0,3.424 
-106.9111,33.7805,0,3.415 
-106.6933,33.7805,0,3.422 
-106.4755,33.7805,0,3.429 
-106.2578,33.7805,0,3.433 
-106.0400,33.7805,0,3.448 
-105.8222,33.7805,0,3.471 
-105.6044,33.7805,0,3.481 
-105.3866,33.7805,0,3.484 
-105.1688,33.7805,0,3.486 
-104.9511,33.7805,0,3.483 
-104.7333,33.7805,0,3.474 
-104.5155,33.7805,0,3.472 
-104.2977,33.7805,0,3.474 
-104.0799,33.7805,0,3.480 
-103.8622,33.7805,0,3.486 
-103.6444,33.7805,0,3.498 
-103.4266,33.7805,0,3.507 
-103.2088,33.7805,0,3.518 
-102.9910,33.7805,0,3.522 
-102.7733,33.7805,0,3.524 
-102.5555,33.7805,0,3.521 
-102.3377,33.7805,0,3.515 
-102.1199,33.7805,0,3.508 
-101.9021,33.7805,0,3.507 
-101.6843,33.7805,0,3.509 
-101.4666,33.7805,0,3.512 
-101.2488,33.7805,0,3.516 
-101.0310,33.7805,0,3.516 
-100.8132,33.7805,0,3.513 
-100.5954,33.7805,0,3.508 
-100.3777,33.7805,0,3.504 
-100.1599,33.7805,0,3.501 
-99.9421,33.7805,0,3.499 
-99.7243,33.7805,0,3.500 
-99.5065,33.7805,0,3.500 
-99.2888,33.7805,0,3.501 
-108.0000,33.6007,0,3.467 
-107.7822,33.6007,0,3.447 
-107.5644,33.6007,0,3.431 
-107.3467,33.6007,0,3.431 
-107.1289,33.6007,0,3.422 
-106.9111,33.6007,0,3.413 
-106.6933,33.6007,0,3.419 
-106.4755,33.6007,0,3.423 
-106.2578,33.6007,0,3.425 
-106.0400,33.6007,0,3.441 
-105.8222,33.6007,0,3.467 
-105.6044,33.6007,0,3.482 
-105.3866,33.6007,0,3.489 
-105.1688,33.6007,0,3.493 
-104.9511,33.6007,0,3.489 
-104.7333,33.6007,0,3.478 
-104.5155,33.6007,0,3.475 
-104.2977,33.6007,0,3.475 
-104.0799,33.6007,0,3.482 
-103.8622,33.6007,0,3.490 
-103.6444,33.6007,0,3.503 
-103.4266,33.6007,0,3.514 
-103.2088,33.6007,0,3.527 
-102.9910,33.6007,0,3.530 
-102.7733,33.6007,0,3.530 
-102.5555,33.6007,0,3.525 
-102.3377,33.6007,0,3.517 
-102.1199,33.6007,0,3.508 
-101.9021,33.6007,0,3.513 
-101.6843,33.6007,0,3.524 
-101.4666,33.6007,0,3.536 
-101.2488,33.6007,0,3.550 
-101.0310,33.6007,0,3.561 
-100.8132,33.6007,0,3.556 
-100.5954,33.6007,0,3.542 
-100.3777,33.6007,0,3.530 
-100.1599,33.6007,0,3.518 
-99.9421,33.6007,0,3.506 
-99.7243,33.6007,0,3.502 
-99.5065,33.6007,0,3.502 
-99.2888,33.6007,0,3.501 
-108.0000,33.4208,0,3.458 
-107.7822,33.4208,0,3.434 
-107.5644,33.4208,0,3.417 
-107.3467,33.4208,0,3.419 
-107.1289,33.4208,0,3.409 
-106.9111,33.4208,0,3.400 
-106.6933,33.4208,0,3.405 
-106.4755,33.4208,0,3.407 
-106.2578,33.4208,0,3.407 
-106.0400,33.4208,0,3.429 
-105.8222,33.4208,0,3.461 
-105.6044,33.4208,0,3.482 
-105.3866,33.4208,0,3.497 
-105.1688,33.4208,0,3.505 
-104.9511,33.4208,0,3.500 
-104.7333,33.4208,0,3.488 
-104.5155,33.4208,0,3.483 
-104.2977,33.4208,0,3.481 
-104.0799,33.4208,0,3.491 
-103.8622,33.4208,0,3.503 
-103.6444,33.4208,0,3.519 
-103.4266,33.4208,0,3.533 
-103.2088,33.4208,0,3.549 
-102.9910,33.4208,0,3.548 
-102.7733,33.4208,0,3.545 
-102.5555,33.4208,0,3.539 
-102.3377,33.4208,0,3.528 
-102.1199,33.4208,0,3.518 
-101.9021,33.4208,0,3.531 
-101.6843,33.4208,0,3.556 
-101.4666,33.4208,0,3.579 
-101.2488,33.4208,0,3.607 
-101.0310,33.4208,0,3.632 
-100.8132,33.4208,0,3.624 
-100.5954,33.4208,0,3.595 
-100.3777,33.4208,0,3.570 
-100.1599,33.4208,0,3.544 
-99.9421,33.4208,0,3.516 
-99.7243,33.4208,0,3.505 
-99.5065,33.4208,0,3.504 
-99.2888,33.4208,0,3.502 
-108.0000,33.2410,0,3.452 
-107.7822,33.2410,0,3.427 
-107.5644,33.2410,0,3.409 
-107.3467,33.2410,0,3.412 
-107.1289,33.2410,0,3.401 
-106.9111,33.2410,0,3.390 
-106.6933,33.2410,0,3.394 
-106.4755,33.2410,0,3.393 
-106.2578,33.2410,0,3.391 
-106.0400,33.2410,0,3.420 
-105.8222,33.2410,0,3.458 
-105.6044,33.2410,0,3.488 
-105.3866,33.2410,0,3.511 
-105.1688,33.2410,0,3.526 
-104.9511,33.2410,0,3.521 
-104.7333,33.2410,0,3.510 
-104.5155,33.2410,0,3.500 
-104.2977,33.2410,0,3.495 
-104.0799,33.2410,0,3.504 
-103.8622,33.2410,0,3.515 
-103.6444,33.2410,0,3.530 
-103.4266,33.2410,0,3.548 
-103.2088,33.2410,0,3.565 
-102.9910,33.2410,0,3.562 
-102.7733,33.2410,0,3.559 
-102.5555,33.2410,0,3.553 
-102.3377,33.2410,0,3.541 
-102.1199,33.2410,0,3.531 
-101.9021,33.2410,0,3.553 
-101.6843,33.2410,0,3.590 
-101.4666,33.2410,0,3.623 
-101.2488,33.2410,0,3.665 
-101.0310,33.2410,0,3.704 
-100.8132,33.2410,0,3.693 
-100.5954,33.2410,0,3.648 
-100.3777,33.2410,0,3.608 
-100.1599,33.2410,0,3.567 
-99.9421,33.2410,0,3.524 
-99.7243,33.2410,0,3.506 
-99.5065,33.2410,0,3.505 
-99.2888,33.2410,0,3.502 
-108.0000,33.0611,0,3.458 
-107.7822,33.0611,0,3.435 
-107.5644,33.0611,0,3.420 
-107.3467,33.0611,0,3.423 
-107.1289,33.0611,0,3.411 
-106.9111,33.0611,0,3.402 
-106.6933,33.0611,0,3.404 
-106.4755,33.0611,0,3.403 
-106.2578,33.0611,0,3.403 
-106.0400,33.0611,0,3.434 
-105.8222,33.0611,0,3.472 
-105.6044,33.0611,0,3.506 
-105.3866,33.0611,0,3.535 
-105.1688,33.0611,0,3.552 
-104.9511,33.0611,0,3.549 
-104.7333,33.0611,0,3.540 
-104.5155,33.0611,0,3.526 
-104.2977,33.0611,0,3.516 
-104.0799,33.0611,0,3.520 
-103.8622,33.0611,0,3.528 
-103.6444,33.0611,0,3.536 
-103.4266,33.0611,0,3.554 
-103.2088,33.0611,0,3.568 
-102.9910,33.0611,0,3.565 
-102.7733,33.0611,0,3.561 
-102.5555,33.0611,0,3.559 
-102.3377,33.0611,0,3.546 
-102.1199,33.0611,0,3.534 
-101.9021,33.0611,0,3.560 
-101.6843,33.0611,0,3.604 
-101.4666,33.0611,0,3.643 
-101.2488,33.0611,0,3.696 
-101.0310,33.0611,0,3.748 
-100.8132,33.0611,0,3.740 
-100.5954,33.0611,0,3.686 
-100.3777,33.0611,0,3.637 
-100.1599,33.0611,0,3.584 
-99.9421,33.0611,0,3.531 
-99.7243,33.0611,0,3.507 
-99.5065,33.0611,0,3.505 
-99.2888,33.0611,0,3.502 
-108.0000,32.8812,0,3.461 
-107.7822,32.8812,0,3.438 
-107.5644,32.8812,0,3.423 
-107.3467,32.8812,0,3.422 
-107.1289,32.8812,0,3.408 
-106.9111,32.8812,0,3.398 
-106.6933,32.8812,0,3.402 
-106.4755,32.8812,0,3.402 
-106.2578,32.8812,0,3.405 
-106.0400,32.8812,0,3.438 
-105.8222,32.8812,0,3.477 
-105.6044,32.8812,0,3.514 
-105.3866,32.8812,0,3.545 
-105.1688,32.8812,0,3.565 
-104.9511,32.8812,0,3.563 
-104.7333,32.8812,0,3.556 
-104.5155,32.8812,0,3.538 
-104.2977,32.8812,0,3.526 
-104.0799,32.8812,0,3.525 
-103.8622,32.8812,0,3.530 
-103.6444,32.8812,0,3.535 
-103.4266,32.8812,0,3.556 
-103.2088,32.8812,0,3.572 
-102.9910,32.8812,0,3.573 
-102.7733,32.8812,0,3.575 
-102.5555,32.8812,0,3.578 
-102.3377,32.8812,0,3.564 
-102.1199,32.8812,0,3.551 
-101.9021,32.8812,0,3.577 
-101.6843,32.8812,0,3.622 
-101.4666,32.8812,0,3.664 
-101.2488,32.8812,0,3.720 
-101.0310,32.8812,0,3.780 
-100.8132,32.8812,0,3.772 
-100.5954,32.8812,0,3.711 
-100.3777,32.8812,0,3.656 
-100.1599,32.8812,0,3.596 
-99.9421,32.8812,0,3.536 
-99.7243,32.8812,0,3.507 
-99.5065,32.8812,0,3.504 
-99.2888,32.8812,0,3.501 
-108.0000,32.7014,0,3.463 
-107.7822,32.7014,0,3.438 
-107.5644,32.7014,0,3.422 
-107.3467,32.7014,0,3.417 
-107.1289,32.7014,0,3.400 
-106.9111,32.7014,0,3.391 
-106.6933,32.7014,0,3.397 
-106.4755,32.7014,0,3.399 
-106.2578,32.7014,0,3.406 
-106.0400,32.7014,0,3.442 
-105.8222,32.7014,0,3.480 
-105.6044,32.7014,0,3.517 
-105.3866,32.7014,0,3.550 
-105.1688,32.7014,0,3.571 
-104.9511,32.7014,0,3.569 
-104.7333,32.7014,0,3.566 
-104.5155,32.7014,0,3.546 
-104.2977,32.7014,0,3.532 
-104.0799,32.7014,0,3.528 
-103.8622,32.7014,0,3.530 
-103.6444,32.7014,0,3.530 
-103.4266,32.7014,0,3.555 
-103.2088,32.7014,0,3.573 
-102.9910,32.7014,0,3.580 
-102.7733,32.7014,0,3.590 
-102.5555,32.7014,0,3.601 
-102.3377,32.7014,0,3.587 
-102.1199,32.7014,0,3.572 
-101.9021,32.7014,0,3.593 
-101.6843,32.7014,0,3.625 
-101.4666,32.7014,0,3.654 
-101.2488,32.7014,0,3.702 
-101.0310,32.7014,0,3.754 
-100.8132,32.7014,0,3.746 
-100.5954,32.7014,0,3.695 
-100.3777,32.7014,0,3.648 
-100.1599,32.7014,0,3.593 
-99.9421,32.7014,0,3.537 
-99.7243,32.7014,0,3.510 
-99.5065,32.7014,0,3.505 
-99.2888,32.7014,0,3.501 
-108.0000,32.5215,0,3.466 
-107.7822,32.5215,0,3.445 
-107.5644,32.5215,0,3.432 
-107.3467,32.5215,0,3.428 
-107.1289,32.5215,0,3.413 
-106.9111,32.5215,0,3.409 
-106.6933,32.5215,0,3.417 
-106.4755,32.5215,0,3.419 
-106.2578,32.5215,0,3.427 
-106.0400,32.5215,0,3.460 
-105.8222,32.5215,0,3.490 
-105.6044,32.5215,0,3.521 
-105.3866,32.5215,0,3.548 
-105.1688,32.5215,0,3.567 
-104.9511,32.5215,0,3.568 
-104.7333,32.5215,0,3.569 
-104.5155,32.5215,0,3.549 
-104.2977,32.5215,0,3.534 
-104.0799,32.5215,0,3.524 
-103.8622,32.5215,0,3.517 
-103.6444,32.5215,0,3.508 
-103.4266,32.5215,0,3.531 
-103.2088,32.5215,0,3.552 
-102.9910,32.5215,0,3.568 
-102.7733,32.5215,0,3.588 
-102.5555,32.5215,0,3.608 
-102.3377,32.5215,0,3.595 
-102.1199,32.5215,0,3.580 
-101.9021,32.5215,0,3.590 
-101.6843,32.5215,0,3.608 
-101.4666,32.5215,0,3.624 
-101.2488,32.5215,0,3.660 
-101.0310,32.5215,0,3.701 
-100.8132,32.5215,0,3.696 
-100.5954,32.5215,0,3.659 
-100.3777,32.5215,0,3.624 
-100.1599,32.5215,0,3.580 
-99.9421,32.5215,0,3.534 
-99.7243,32.5215,0,3.512 
-99.5065,32.5215,0,3.506 
-99.2888,32.5215,0,3.501 
-108.0000,32.3416,0,3.473 
-107.7822,32.3416,0,3.455 
-107.5644,32.3416,0,3.445 
-107.3467,32.3416,0,3.440 
-107.1289,32.3416,0,3.429 
-106.9111,32.3416,0,3.429 
-106.6933,32.3416,0,3.439 
-106.4755,32.3416,0,3.444 
-106.2578,32.3416,0,3.455 
-106.0400,32.3416,0,3.481 
-105.8222,32.3416,0,3.502 
-105.6044,32.3416,0,3.522 
-105.3866,32.3416,0,3.539 
-105.1688,32.3416,0,3.549 
-104.9511,32.3416,0,3.548 
-104.7333,32.3416,0,3.551 
-104.5155,32.3416,0,3.535 
-104.2977,32.3416,0,3.522 
-104.0799,32.3416,0,3.509 
-103.8622,32.3416,0,3.498 
-103.6444,32.3416,0,3.484 
-103.4266,32.3416,0,3.507 
-103.2088,32.3416,0,3.530 
-102.9910,32.3416,0,3.555 
-102.7733,32.3416,0,3.584 
-102.5555,32.3416,0,3.610 
-102.3377,32.3416,0,3.597 
-102.1199,32.3416,0,3.580 
-101.9021,32.3416,0,3.580 
-101.6843,32.3416,0,3.583 
-101.4666,32.3416,0,3.588 
-101.2488,32.3416,0,3.613 
-101.0310,32.3416,0,3.644 
-100.8132,32.3416,0,3.641 
-100.5954,32.3416,0,3.620 
-100.3777,32.3416,0,3.598 
-100.1599,32.3416,0,3.566 
-99.9421,32.3416,0,3.532 
-99.7243,32.3416,0,3.514 
-99.5065,32.3416,0,3.507 
-99.2888,32.3416,0,3.501 
-108.0000,32.1618,0,3.474 
-107.7822,32.1618,0,3.458 
-107.5644,32.1618,0,3.449 
-107.3467,32.1618,0,3.444 
-107.1289,32.1618,0,3.435 
-106.9111,32.1618,0,3.438 
-106.6933,32.1618,0,3.450 
-106.4755,32.1618,0,3.458 
-106.2578,32.1618,0,3.475 
-106.0400,32.1618,0,3.502 
-105.8222,32.1618,0,3.520 
-105.6044,32.1618,0,3.535 
-105.3866,32.1618,0,3.542 
-105.1688,32.1618,0,3.540 
-104.9511,32.1618,0,3.532 
-104.7333,32.1618,0,3.532 
-104.5155,32.1618,0,3.520 
-104.2977,32.1618,0,3.516 
-104.0799,32.1618,0,3.514 
-103.8622,32.1618,0,3.510 
-103.6444,32.1618,0,3.502 
-103.4266,32.1618,0,3.529 
-103.2088,32.1618,0,3.549 
-102.9910,32.1618,0,3.573 
-102.7733,32.1618,0,3.600 
-102.5555,32.1618,0,3.623 
-102.3377,32.1618,0,3.604 
-102.1199,32.1618,0,3.585 
-101.9021,32.1618,0,3.578 
-101.6843,32.1618,0,3.571 
-101.4666,32.1618,0,3.568 
-101.2488,32.1618,0,3.586 
-101.0310,32.1618,0,3.607 
-100.8132,32.1618,0,3.603 
-100.5954,32.1618,0,3.591 
-100.3777,32.1618,0,3.579 
-100.1599,32.1618,0,3.555 
-99.9421,32.1618,0,3.530 
-99.7243,32.1618,0,3.516 
-99.5065,32.1618,0,3.508 
-99.2888,32.1618,0,3.501 
-108.0000,31.9819,0,3.477 
-107.7822,31.9819,0,3.464 
-107.5644,31.9819,0,3.457 
-107.3467,31.9819,0,3.454 
-107.1289,31.9819,0,3.449 
-106.9111,31.9819,0,3.455 
-106.6933,31.9819,0,3.466 
-106.4755,31.9819,0,3.478 
-106.2578,31.9819,0,3.499 
-106.0400,31.9819,0,3.527 
-105.8222,31.9819,0,3.542 
-105.6044,31.9819,0,3.555 
-105.3866,31.9819,0,3.555 
-105.1688,31.9819,0,3.544 
-104.9511,31.9819,0,3.531 
-104.7333,31.9819,0,3.528 
-104.5155,31.9819,0,3.518 
-104.2977,31.9819,0,3.523 
-104.0799,31.9819,0,3.530 
-103.8622,31.9819,0,3.533 
-103.6444,31.9819,0,3.533 
-103.4266,31.9819,0,3.560 
-103.2088,31.9819,0,3.571 
-102.9910,31.9819,0,3.585 
-102.7733,31.9819,0,3.604 
-102.5555,31.9819,0,3.615 
-102.3377,31.9819,0,3.591 
-102.1199,31.9819,0,3.574 
-101.9021,31.9819,0,3.565 
-101.6843,31.9819,0,3.554 
-101.4666,31.9819,0,3.548 
-101.2488,31.9819,0,3.564 
-101.0310,31.9819,0,3.578 
-100.8132,31.9819,0,3.575 
-100.5954,31.9819,0,3.571 
-100.3777,31.9819,0,3.566 
-100.1599,31.9819,0,3.548 
-99.9421,31.9819,0,3.529 
-99.7243,31.9819,0,3.519 
-99.5065,31.9819,0,3.510 
-99.2888,31.9819,0,3.502 
-108.0000,31.8021,0,3.485 
-107.7822,31.8021,0,3.477 
-107.5644,31.8021,0,3.473 
-107.3467,31.8021,0,3.472 
-107.1289,31.8021,0,3.470 
-106.9111,31.8021,0,3.476 
-106.6933,31.8021,0,3.487 
-106.4755,31.8021,0,3.501 
-106.2578,31.8021,0,3.524 
-106.0400,31.8021,0,3.550 
-105.8222,31.8021,0,3.565 
-105.6044,31.8021,0,3.576 
-105.3866,31.8021,0,3.570 
-105.1688,31.8021,0,3.552 
-104.9511,31.8021,0,3.534 
-104.7333,31.8021,0,3.529 
-104.5155,31.8021,0,3.522 
-104.2977,31.8021,0,3.540 
-104.0799,31.8021,0,3.561 
-103.8622,31.8021,0,3.578 
-103.6444,31.8021,0,3.589 
-103.4266,31.8021,0,3.617 
-103.2088,31.8021,0,3.612 
-102.9910,31.8021,0,3.609 
-102.7733,31.8021,0,3.610 
-102.5555,31.8021,0,3.603 
-102.3377,31.8021,0,3.571 
-102.1199,31.8021,0,3.557 
-101.9021,31.8021,0,3.550 
-101.6843,31.8021,0,3.541 
-101.4666,31.8021,0,3.540 
-101.2488,31.8021,0,3.557 
-101.0310,31.8021,0,3.568 
-100.8132,31.8021,0,3.566 
-100.5954,31.8021,0,3.562 
-100.3777,31.8021,0,3.558 
-100.1599,31.8021,0,3.541 
-99.9421,31.8021,0,3.525 
-99.7243,31.8021,0,3.517 
-99.5065,31.8021,0,3.509 
-99.2888,31.8021,0,3.502 
-108.0000,31.6222,0,3.491 
-107.7822,31.6222,0,3.486 
-107.5644,31.6222,0,3.484 
-107.3467,31.6222,0,3.482 
-107.1289,31.6222,0,3.480 
-106.9111,31.6222,0,3.485 
-106.6933,31.6222,0,3.493 
-106.4755,31.6222,0,3.509 
-106.2578,31.6222,0,3.536 
-106.0400,31.6222,0,3.564 
-105.8222,31.6222,0,3.582 
-105.6044,31.6222,0,3.596 
-105.3866,31.6222,0,3.589 
-105.1688,31.6222,0,3.565 
-104.9511,31.6222,0,3.539 
-104.7333,31.6222,0,3.531 
-104.5155,31.6222,0,3.529 
-104.2977,31.6222,0,3.561 
-104.0799,31.6222,0,3.600 
-103.8622,31.6222,0,3.640 
-103.6444,31.6222,0,3.662 
-103.4266,31.6222,0,3.687 
-103.2088,31.6222,0,3.660 
-102.9910,31.6222,0,3.633 
-102.7733,31.6222,0,3.612 
-102.5555,31.6222,0,3.588 
-102.3377,31.6222,0,3.551 
-102.1199,31.6222,0,3.541 
-101.9021,31.6222,0,3.538 
-101.6843,31.6222,0,3.532 
-101.4666,31.6222,0,3.534 
-101.2488,31.6222,0,3.550 
-101.0310,31.6222,0,3.560 
-100.8132,31.6222,0,3.557 
-100.5954,31.6222,0,3.555 
-100.3777,31.6222,0,3.550 
-100.1599,31.6222,0,3.535 
-99.9421,31.6222,0,3.522 
-99.7243,31.6222,0,3.515 
-99.5065,31.6222,0,3.508 
-99.2888,31.6222,0,3.501 
-108.0000,31.4423,0,3.494 
-107.7822,31.4423,0,3.491 
-107.5644,31.4423,0,3.490 
-107.3467,31.4423,0,3.489 
-107.1289,31.4423,0,3.488 
-106.9111,31.4423,0,3.491 
-106.6933,31.4423,0,3.497 
-106.4755,31.4423,0,3.514 
-106.2578,31.4423,0,3.542 
-106.0400,31.4423,0,3.571 
-105.8222,31.4423,0,3.595 
-105.6044,31.4423,0,3.615 
-105.3866,31.4423,0,3.610 
-105.1688,31.4423,0,3.583 
-104.9511,31.4423,0,3.561 
-104.7333,31.4423,0,3.559 
-104.5155,31.4423,0,3.572 
-104.2977,31.4423,0,3.629 
-104.0799,31.4423,0,3.700 
-103.8622,31.4423,0,3.760 
-103.6444,31.4423,0,3.786 
-103.4266,31.4423,0,3.788 
-103.2088,31.4423,0,3.723 
-102.9910,31.4423,0,3.656 
-102.7733,31.4423,0,3.605 
-102.5555,31.4423,0,3.564 
-102.3377,31.4423,0,3.528 
-102.1199,31.4423,0,3.526 
-101.9021,31.4423,0,3.532 
-101.6843,31.4423,0,3.532 
-101.4666,31.4423,0,3.538 
-101.2488,31.4423,0,3.554 
-101.0310,31.4423,0,3.560 
-100.8132,31.4423,0,3.558 
-100.5954,31.4423,0,3.556 
-100.3777,31.4423,0,3.550 
-100.1599,31.4423,0,3.534 
-99.9421,31.4423,0,3.522 
-99.7243,31.4423,0,3.514 
-99.5065,31.4423,0,3.507 
-99.2888,31.4423,0,3.501 
-108.0000,31.2625,0,3.498 
-107.7822,31.2625,0,3.497 
-107.5644,31.2625,0,3.496 
-107.3467,31.2625,0,3.496 
-107.1289,31.2625,0,3.496 
-106.9111,31.2625,0,3.497 
-106.6933,31.2625,0,3.501 
-106.4755,31.2625,0,3.513 
-106.2578,31.2625,0,3.535 
-106.0400,31.2625,0,3.557 
-105.8222,31.2625,0,3.579 
-105.6044,31.2625,0,3.598 
-105.3866,31.2625,0,3.596 
-105.1688,31.2625,0,3.578 
-104.9511,31.2625,0,3.571 
-104.7333,31.2625,0,3.585 
-104.5155,31.2625,0,3.618 
-104.2977,31.2625,0,3.690 
-104.0799,31.2625,0,3.777 
-103.8622,31.2625,0,3.832 
-103.6444,31.2625,0,3.838 
-103.4266,31.2625,0,3.808 
-103.2088,31.2625,0,3.719 
-102.9910,31.2625,0,3.629 
-102.7733,31.2625,0,3.569 
-102.5555,31.2625,0,3.530 
-102.3377,31.2625,0,3.506 
-102.1199,31.2625,0,3.513 
-101.9021,31.2625,0,3.525 
-101.6843,31.2625,0,3.529 
-101.4666,31.2625,0,3.536 
-101.2488,31.2625,0,3.549 
-101.0310,31.2625,0,3.553 
-100.8132,31.2625,0,3.552 
-100.5954,31.2625,0,3.552 
-100.3777,31.2625,0,3.546 
-100.1599,31.2625,0,3.531 
-99.9421,31.2625,0,3.520 
